rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1032.0 586.0]) p_canvas=Some([417.3 -28.2]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1032.0 586.0]) p_canvas=Some([417.3 -28.2]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1042.0 667.0]) p_canvas=Some([425.6 39.3]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1086.0 596.0]) p_canvas=Some([462.3 -19.9]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1086.0 596.0]) p_canvas=Some([594.9 -19.9]) frame.pan=[364.1 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [24.1 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1086.0 596.0]) p_canvas=Some([594.9 -19.9]) frame.pan=[364.1 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [24.1 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([555.0 582.0]) p_canvas=Some([20.2 -27.8]) frame.pan=[526.0 132.3] zoom=1.037 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [233.3 610.9], [87.8 73.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([483.0 535.0]) p_canvas=Some([-10.3 -50.9]) frame.pan=[487.3 117.5] zoom=1.200 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [147.3 596.1], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([483.0 535.0]) p_canvas=Some([-10.3 -50.9]) frame.pan=[487.3 117.5] zoom=1.200 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [147.3 596.1], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1014.0 566.0]) p_canvas=Some([432.2 -25.1]) frame.pan=[487.3 117.5] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [147.3 596.1], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1014.0 566.0]) p_canvas=Some([432.2 -25.1]) frame.pan=[487.3 117.5] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [147.3 596.1], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1014.0 566.0]) p_canvas=Some([432.2 -25.1]) frame.pan=[487.3 117.5] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [147.3 596.1], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([227.0 462.0]) p_canvas=Some([-71.5 64.4]) frame.pan=[361.5 -145.0] zoom=1.993 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [-208.5 333.6], [105.0 72.0])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1167.0 416.0]) p_canvas=Some([657.5 36.0]) frame.pan=[370.0 -105.8] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 372.8], [105.0 72.0])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([396.0 419.0]) p_canvas=Some([15.0 38.5]) frame.pan=[370.0 -105.8] zoom=1.200 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [30.0 372.8], [105.0 72.0])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([398.0 421.0]) p_canvas=Some([16.6 -53.1]) frame.pan=[370.0 6.2] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 484.7], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([396.0 419.0]) p_canvas=Some([15.0 -54.8]) frame.pan=[370.0 6.2] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 484.7], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([456.0 412.0]) p_canvas=Some([65.0 -60.6]) frame.pan=[370.0 6.2] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 484.7], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([785.0 417.0]) p_canvas=Some([339.1 -56.4]) frame.pan=[370.0 6.2] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 484.7], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([537.0 665.0]) p_canvas=Some([132.5 119.4]) frame.pan=[370.0 43.1] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [30.0 521.7], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([702.0 495.0]) p_canvas=Some([190.0 -152.2]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=None algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([755.0 547.0]) p_canvas=Some([255.0 -88.5]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=None algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([596.0 602.0]) p_canvas=Some([60.0 -21.1]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=Some(NodeIndex(3)) algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=4
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([710.0 499.0]) p_canvas=Some([199.8 -147.3]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=None algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=4
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([746.0 633.0]) p_canvas=Some([243.9 17.0]) frame.pan=[539.0 140.6] zoom=0.816 node_sob=Some(NodeIndex(2)) algum_no_tela=Some((NodeIndex(0), [310.5 619.2], [92.0 75.2])) usando_widget=true n_nodes=4
